,Date,Listing_ID,Ordered_Quantity,Avg_Num_Of_Listings,Top_Rank_Share,Product_ID,Category_ID,Demand
27552,02/10/2016,88372,0,12.74,0.25,10acbba9054b460df7ff031e952c03f6,166269011,0
28104,01/10/2016,90019,4,8.93,0.33,531619ee7153da5bd6f9757522fc3b16,1243732011,12.12121212
28105,01/10/2016,90019,4,8.93,0.33,531619ee7153da5bd6f9757522fc3b16,166220011,12.12121212
28440,02/10/2016,90019,1,9.46,0.17,531619ee7153da5bd6f9757522fc3b16,1243732011,5.882352941
28441,02/10/2016,90019,1,9.46,0.17,531619ee7153da5bd6f9757522fc3b16,166220011,5.882352941
33298,01/10/2016,100517,0,8,0.31,9bb672869130d2b23a57f6028064ba13,2491218011,0
33637,02/10/2016,100517,0,8,0.41,9bb672869130d2b23a57f6028064ba13,2491218011,0
34652,01/10/2016,170260,0,9,0.22,486d5048db412f418ae0b7f0a4439dd6,166346011,0
34990,02/10/2016,170260,0,7.88,0.19,486d5048db412f418ae0b7f0a4439dd6,166346011,0
35700,01/10/2016,11340933,0,4.78,0.7,840bb90aa73bc2552b324ecd4e4d1552,2975415011,0
36037,02/10/2016,11340933,0,4,0.69,840bb90aa73bc2552b324ecd4e4d1552,2975415011,0
37166,01/10/2016,11360436,0,20,0.2,4afdbd627d79539fcbe485eb8f372e8d,2491296011,0
37451,02/10/2016,11360436,0,20,0.23,4afdbd627d79539fcbe485eb8f372e8d,2491296011,0
38202,01/10/2016,2740160,0,8,0.29,d6c78d68dcf42dc7d7ce2ca8878a77ed,166337011,0
38203,01/10/2016,2740160,0,8,0.29,d6c78d68dcf42dc7d7ce2ca8878a77ed,166461011,0
38730,02/10/2016,2740160,0,8.61,0.34,d6c78d68dcf42dc7d7ce2ca8878a77ed,166337011,0
38731,02/10/2016,2740160,0,8.61,0.34,d6c78d68dcf42dc7d7ce2ca8878a77ed,166461011,0
44620,01/10/2016,9957071,0,19.31,0.14,89b07e6df2de911813f6b92093421781,166316011,0
44621,02/10/2016,9957071,0,19,0.11,89b07e6df2de911813f6b92093421781,166316011,0
45182,01/10/2016,2726014,0,12,0.35,9a856da91b6b7ebe0b6ac5b541909e29,3245219011,0
45466,02/10/2016,2726014,0,12,0.38,9a856da91b6b7ebe0b6ac5b541909e29,3245219011,0
45757,01/10/2016,2857266,0,10.63,0.49,43d478f4be48f608d9b6c98b6b6fbd7d,166316011,0
45758,02/10/2016,2857266,0,9,0.34,43d478f4be48f608d9b6c98b6b6fbd7d,166316011,0
46443,01/10/2016,3508892,8,15,0.43,1fb3e6a96973a8dbe05b8d36c901198d,166316011,18.60465116
46444,02/10/2016,3508892,10,15,0.48,1fb3e6a96973a8dbe05b8d36c901198d,166316011,20.83333333
46445,01/10/2016,6306120,0,5.94,0.1,dac465b7b2ea9d4788aa667249a3fd0b,166316011,0
46446,02/10/2016,6306120,0,6,0.11,dac465b7b2ea9d4788aa667249a3fd0b,166316011,0
48535,01/10/2016,8242852,0,2,1,c755e606d974458f08e388568e5ca197,165994011,0
48781,02/10/2016,8242852,0,2,1,c755e606d974458f08e388568e5ca197,165994011,0
49693,01/10/2016,193179,0,5,1,a5ba75ad7a862b72e7416a749f72971d,166461011,0
49695,01/10/2016,193179,0,5,1,a5ba75ad7a862b72e7416a749f72971d,166337011,0
50371,02/10/2016,193179,0,5,1,a5ba75ad7a862b72e7416a749f72971d,166461011,0
50373,02/10/2016,193179,0,5,1,a5ba75ad7a862b72e7416a749f72971d,166337011,0
51049,01/10/2016,194295,0,3,1,7d908e017567560735e0d206fb8a562e,166064011,0
